SPHK2,HPA049062;
RPL18,HPA046572;
CA11,HPA041778;
U2AF2,CAB010910;HPA041943;HPA043562;
EPN1,CAB009729;HPA061136;HPA071503;
MED29,HPA055956;
ZNF275,HPA000566;
ADCK1,HPA051012;HPA055014;
CASP8,HPA001302;CAB002047;HPA005688;HPA006191;
INTS13,HPA039543;HPA040109;HPA073020;
TM7SF3,HPA057640;
SPA17,HPA037568;
NGFR,CAB000143;CAB001995;HPA004765;
HIPK2,HPA007611;
TNPO3,HPA039555;HPA041537;
RFXANK,HPA049157;HPA053330;
TMEM161A,HPA043365;
CTSA,CAB024930;HPA031068;HPA072487;
SUGP2,HPA041557;HPA061111;
CNN2,HPA049095;
FAR2,HPA015884;
HMG20B,HPA050220;HPA053157;HPA069832;
TAF11,HPA029326;HPA049127;
ANKS1A,HPA036768;HPA036769;
ZNF76,HPA030090;HPA030091;
SLC9A3R2,HPA001672;HPA066520;
UHRF1BP1,HPA032099;HPA032100;
GNAI3,CAB022099;HPA042141;
IPO5,CAB009110;HPA040983;HPA056548;
OAT,CAB033576;HPA040098;HPA064742;
WDR3,HPA027509;HPA054354;HPA072915;
PKN2,HPA034861;HPA057913;
TRAM2,HPA035092;HPA057925;
ERBB3,CAB025331;HPA045396;
ANKRD44,HPA030122;HPA056549;
ADAT1,HPA040713;HPA040903;
TBC1D22B,HPA027908;HPA027909;HPA027910;
NDUFB4,HPA051739;HPA064441;
SPEN,HPA015825;HPA050257;
ZC3H15,HPA031099;HPA031100;HPA031101;
MAP2K4,CAB007751;HPA060074;
SNAP91,CAB009745;HPA029632;HPA029633;
SLK,HPA015757;
ASB1,HPA003508;
FAM107B,HPA039661;HPA058814;HPA073195;
ME1,HPA006493;
CDK13,HPA059241;
FOXJ2,HPA008723;
YBX1,CAB005875;HPA040304;HPA057159;
ELAVL1,CAB005256;HPA046298;
SMARCD1,HPA004101;
KDM4A,HPA007610;
NFYC,HPA055011;
SLC9A3,HPA036493;HPA036669;
NGEF,HPA008160;
ASPM,CAB017816;
ZNRD1,HPA055074;HPA077979;
FGFR2,CAB010886;HPA035305;
LRRC40,HPA026564;
THUMPD1,HPA027851;
MSANTD3,HPA062662;
KIF26A,HPA046882;HPA060346;
ATG2B,HPA000880;HPA001427;HPA019665;
ARFGEF1,HPA023399;HPA023822;
MTFR1,HPA023152;HPA056120;
STAG3,HPA049106;HPA058330;
MYO9A,HPA039812;HPA040071;
DDX3Y,HPA001648;HPA005631;HPA059583;
PFKP,HPA018257;HPA056484;
NEO1,CAB009320;HPA027804;HPA027805;HPA027806;
EVI5,HPA027339;
STOML1,HPA042353;
PKM,CAB019421;HPA029501;
DHX29,HPA038317;HPA038318;
TP53BP1,CAB004083;HPA008788;HPA022133;
RHOA,CAB005052;
IARS2,HPA024212;HPA024594;HPA024596;
NAV3,HPA032111;HPA061392;
CBFB,HPA038852;
HEATR6,HPA030789;HPA062157;
PLEKHH3,HPA046234;
MEF2A,CAB004499;HPA046597;
TFE3,HPA023881;
ACSL4,HPA000286;HPA005552;
GRIPAP1,HPA000282;HPA000615;
FTSJ1,HPA002718;
ATP11A,HPA035583;HPA035584;
POLR1A,CAB010145;HPA031513;HPA049700;
SRBD1,HPA030567;HPA030568;
PSME4,HPA060922;
PAGE1,HPA003473;
PITX1,HPA008743;
TRPC7,CAB022592;HPA031126;
MAST4,HPA000544;
SDK2,HPA014725;
DNAJA2,HPA049789;HPA060538;
TGFBR3,HPA008257;CAB018971;
NEDD4,CAB001991;HPA039883;CAB072833;
PIGB,HPA039929;
MAPK6,CAB005184;HPA030262;HPA047825;
HDHD5,HPA005548;
UFD1,HPA030286;HPA030287;
ELP1,CAB021340;HPA049677;HPA050686;
NUCB2,HPA008395;CAB015931;CAB079781;
TMEM260,HPA003502;
SMG6,HPA042932;
FSTL3,CAB024899;HPA045378;
RNF126,HPA043050;
MNT,HPA059532;HPA067578;
ZXDC,HPA049593;
POLB,CAB011616;HPA049104;
GBA2,HPA024026;
ASNS,HPA004924;HPA029318;HPA064737;
PABPC1,CAB011536;HPA045423;HPA067156;
TESK2,HPA027257;HPA063869;
CFAP20,HPA018195;
EIF2B3,HPA024213;HPA024218;HPA024219;
CAMK2A,CAB004330;HPA051783;HPA051785;HPA053973;
TCOF1,CAB033199;HPA038237;HPA038238;
CDC42,CAB004360;HPA069590;
OSBPL3,HPA000691;HPA048401;
ATP2B1,CAB005605;HPA011166;HPA012945;
ARHGAP10,HPA039589;
RPS6KA2,CAB026243;HPA045061;HPA054237;CAB069428;
LMCD1,HPA024059;
TCF3,CAB018351;HPA049808;HPA062476;
MBD3,CAB013265;
HLTF,HPA015284;HPA049001;
FAM50A,HPA003585;
SLC6A15,HPA008609;
ACTN1,CAB004303;HPA006035;
RPS6KA6,HPA002852;HPA003904;
