TSPAN6,HPA004109;
LRSAM1,HPA021403;HPA021844;CAB037304;
HMCN2,HPA053903;HPA070647;
PAXX,HPA045268;
SEC16A,HPA005684;
CACNA1B,HPA022919;HPA044347;
NACC2,HPA047924;HPA052962;
PROSER2,HPA041337;
USP6NL,HPA039196;
COMMD3,HPA036584;
MSRB2,HPA027933;
FAM171A1,HPA051345;
MINDY3,HPA038400;HPA038406;
TMEM236,HPA045096;
RSU1,HPA025927;
ST8SIA6,HPA011635;HPA072708;
PARD3,HPA030443;
ZEB1,HPA027524;CAB058686;CAB079943;
FAM13C,HPA037888;
NRBF2,HPA021670;HPA059477;
A1CF,HPA037779;HPA044079;
POLR3A,HPA037926;
HERC4,HPA045453;HPA070301;
LRMDA,HPA047446;HPA050419;
CAMK2G,HPA040656;HPA051783;HPA051785;HPA053973;
GLUD1,HPA042492;HPA044839;HPA061369;
ANKRD1,HPA038736;
RPP30,HPA037578;
ADD3,CAB009797;HPA035696;
HABP2,HPA019518;
VAX1,HPA028946;
DNAJB12,HPA010642;HPA072702;
EIF4EBP2,CAB019415;HPA037410;HPA061665;
NPFFR1,HPA037521;
TCF7L2,CAB013535;HPA038800;
MKI67,CAB000058;HPA000451;HPA001164;CAB068198;
CYP17A1,HPA048533;
INA,CAB002059;HPA007572;HPA008057;
MTG1,HPA037826;HPA037827;
GSTO1,HPA037603;HPA037604;
TAF5,HPA006195;HPA006474;
PPRC1,HPA038511;HPA057571;
PDCD11,HPA017924;CAB026472;
BTBD10,HPA046777;
ADM,CAB016075;HPA068955;
GAS2,HPA058904;
SLC5A12,HPA060904;
LIN7C,HPA051118;
SAA4,CAB026061;HPA060139;
PGAP2,HPA063099;
ZNF214,HPA055391;
HSD17B12,HPA016427;
APIP,HPA021188;HPA024131;
DGKZ,HPA051336;
EIF3M,HPA031063;
TNKS1BP1,HPA037929;HPA037930;
GLYAT,HPA040251;HPA044094;
SERPING1,CAB026161;HPA048738;
OR5F1,HPA059360;
SSRP1,HPA002697;
C11orf49,HPA040051;HPA040280;
ARFGAP2,HPA016649;HPA018152;
CELF1,CAB016114;HPA044597;CAB069989;
HIKESHI,HPA012708;HPA035063;HPA035064;
ENDOD1,HPA008932;HPA010517;
CCDC82,HPA038704;HPA070631;
TENM4,HPA019521;HPA065961;
SERPINH1,CAB004441;HPA029198;
CAPN5,CAB033237;HPA072319;
INTS4,HPA042378;
PAK1,HPA003565;CAB005312;
RPS3,HPA063339;
ZC3H12C,HPA038836;HPA038837;
NCAM1,CAB000142;CAB018071;HPA039835;
DRD2,HPA015139;HPA015691;
C11orf52,HPA038387;HPA038388;
HTR3B,HPA039559;
AASDHPPT,HPA026687;
GLB1L2,HPA054808;HPA059955;
SLX4IP,HPA046372;
LAMTOR1,HPA002997;
HYOU1,HPA049296;
GGTLC1,HPA045635;HPA047534;
ADAM33,HPA067152;HPA071758;
SLC22A8,HPA044174;
KAT14,CAB034224;
TKFC,HPA039486;HPA048186;
TMEM138,HPA042373;
FADS1,HPA042705;
INCENP,CAB013292;HPA051339;HPA070550;
OOSP2,HPA050914;
MS4A3,HPA019210;
CPSF7,HPA041094;
MS4A2,HPA059967;
B3GAT3,HPA051328;
CCDC15,HPA040450;HPA041738;
ESAM,HPA051043;HPA056293;
KIRREL3,HPA053324;
MPZL2,HPA060740;
TAGLN,CAB001447;HPA019467;
JPH2,HPA052646;
KIAA1755,HPA051064;
OCSTAMP,HPA031116;
DSN1,HPA002813;HPA030627;
SOGA1,HPA043992;
CNBD2,HPA043182;
CDH22,HPA012164;HPA012715;
LSM14B,HPA041274;HPA061189;
TRPT1,HPA038705;HPA038706;
NUDT22,HPA039334;HPA053464;
PLCB3,CAB009257;HPA039279;HPA043907;
CDC42EP2,HPA038562;
FAU,HPA059015;
TM7SF2,HPA030691;HPA072704;
VPS51,HPA039650;HPA061447;
PPP4C,HPA043837;
ALDOA,HPA004177;CAB006252;
HIRIP3,HPA051897;HPA063205;
TMEM219,HPA059185;
MMP3,HPA007875;
CNTN5,HPA039492;HPA041223;
MKX,HPA006927;
ITGB1,CAB003434;HPA059297;HPA069003;
FXYD4,HPA058421;
OR8K1,HPA055233;
CTF1,CAB025853;
CWC15,HPA039878;
ARID5B,HPA015037;
KLHL1,HPA021196;
CDH8,HPA014908;HPA076441;
DCUN1D2,HPA039349;
TMCO3,HPA039561;HPA048126;
EEF1AKMT1,HPA040417;HPA042543;
ADGRL3,HPA015027;HPA015762;CAB022698;
KIAA1328,HPA040946;
FAM124A,HPA048182;
CTAGE5,HPA000387;HPA000922;HPA054066;HPA055459;
LYPD6B,HPA049239;
GPM6A,HPA017338;
SPATA4,HPA019220;
CCDC102B,HPA040623;HPA048194;
CD226,HPA015715;HPA015865;
CNDP1,HPA008933;HPA073283;
FSIP1,HPA041002;
DLG2,HPA021307;HPA023896;CAB072341;
RGS18,HPA028727;HPA045780;
PRSS23,HPA030591;
MTMR12,HPA051333;
C11orf53,HPA056128;HPA073101;
CCT5,HPA002238;HPA005958;CAB006271;
DOCK1,CAB004378;HPA048692;HPA053277;
DLAT,CAB003782;HPA040786;HPA062766;
NKAPD1,HPA039493;HPA039892;
TIMM8B,HPA041173;
IL18,HPA003980;CAB007772;
TEX12,HPA038289;HPA038290;
C2orf50,HPA062894;
FOXO1,HPA001252;CAB022326;
SEC24D,HPA041626;HPA053486;
ABCB9,CAB033052;HPA035113;HPA035114;
RILPL2,HPA028958;
DHX37,HPA047607;
UBC,CAB000362;CAB005419;HPA041344;HPA049132;
ITPR1,HPA014765;HPA016487;
PRSS53,HPA034955;HPA034956;
NOCT,HPA012287;HPA053714;
ENKUR,HPA037593;HPA037594;HPA061503;
GPR158,HPA013185;
CACNA2D4,HPA031952;
DCP1B,HPA039709;
CACNA1C,HPA039796;CAB079031;
THRB,CAB002008;CAB002009;HPA061035;
NGLY1,HPA036825;
OXSM,HPA021293;HPA021300;HPA021337;
UEVLD,HPA047134;
TMEM86A,HPA057119;
C12orf45,HPA038722;
UBE3B,HPA041012;
RAD9B,HPA040643;
PLBD2,HPA017163;
MAT1A,HPA048627;
SLC2A13,HPA006584;HPA061679;
TWF1,HPA018116;
DIP2C,HPA030264;HPA059325;
MAGI1,HPA031851;HPA031852;HPA031853;HPA077002;
TEX30,HPA053545;
SRFBP1,HPA042737;
AKAP6,CAB001983;HPA048741;
FAM177A1,HPA053222;HPA055440;
MBIP,HPA003388;
MIPOL1,HPA002893;HPA050179;
TMEM18,HPA040233;
THRSP,HPA040642;
NDUFC2,HPA038873;HPA056195;
ADAMTS12,HPA035973;HPA075079;
NEK7,HPA015520;HPA018193;
ATP6V1G3,HPA028701;
FER,HPA007641;CAB022464;
ANKRD50,HPA044008;
CDC123,HPA037830;HPA057540;
SCLT1,HPA036560;HPA036561;
C4orf33,HPA061199;
FRMD4A,HPA038449;
SLC25A31,HPA015064;HPA016841;HPA046835;HPA071684;
PTPRO,HPA034525;
EPS8,HPA003897;
ACAD8,HPA040689;HPA043903;
THYN1,HPA038732;HPA038733;
VPS26B,HPA038172;
VTI1A,HPA054108;
QDPR,HPA058951;HPA065649;
FAM160B1,HPA043624;
ANO4,HPA053412;
TEX9,HPA039415;
QTRT2,HPA036827;HPA036828;
ZNF827,HPA021166;
NR3C2,CAB009155;HPA074979;
AKR1C2,CAB047304;HPA068265;
DPYSL4,HPA049066;
ADAM8,HPA064637;
ITIH2,HPA059150;
PIGF,HPA051389;
ANKAR,HPA036168;
INPP1,HPA036698;HPA036699;
MFSD6,HPA022274;
RNF144A,HPA049939;
ASAP2,CAB018615;
ADAM17,HPA010738;HPA051575;
KCNJ1,HPA026962;
TMEM45B,HPA015474;HPA015878;
WWC2,HPA044005;
ACSL1,HPA011316;HPA011964;
BICD1,HPA041309;
CCDC122,CAB034233;HPA054995;HPA061456;
SERP2,HPA038970;
NBAS,HPA036817;
ZNF385D,HPA036190;
TDO2,HPA039611;
GUF1,HPA003934;HPA024222;
SLC35F4,HPA043853;
CCDC175,HPA004200;
PARP8,HPA049183;
GFRA1,HPA043829;
DST,HPA030200;
BAG3,HPA018493;HPA020586;
TMEM132D,HPA010739;
SCHIP1,HPA003243;HPA069824;
KCNE4,HPA011420;
AP1S3,HPA066782;
RABGAP1L,HPA054695;
MZT2B,HPA051758;HPA052623;
TUBA3E,HPA039247;HPA043684;HPA063394;
CFC1B,HPA041773;
FAM168B,HPA043778;HPA061659;
PTPN14,CAB011469;HPA053864;CAB069441;
MGAT5,HPA010919;
TMEM163,HPA007224;
GPATCH11,HPA038231;HPA038232;
HSPB8,HPA015876;
GEMIN6,HPA035726;HPA035727;
TMEM178A,HPA052128;
POU4F1,HPA068024;
CYSLTR2,HPA046528;
GRID2,HPA056253;HPA058538;
ARL11,HPA040855;HPA040887;
SETBP1,HPA049022;HPA057259;
ARL14EP,HPA039634;HPA048127;
EPG5,HPA031689;
ATP5F1A,CAB013067;HPA040622;HPA044202;
HAUS1,HPA040601;HPA040652;
C18orf25,HPA051314;HPA051899;
SPC25,HPA047144;HPA050544;
PDK1,CAB017554;HPA027376;
PTH,CAB000072;CAB023409;CAB026363;HPA048540;
TGOLN2,CAB011489;HPA012609;HPA012723;
SH2D6,HPA053873;
KCNK13,HPA003514;
ATG10,HPA044163;
POC5,HPA037509;HPA037510;HPA061521;
FAM151B,HPA043805;
TADA1,HPA028651;
GUCY1A2,CAB009534;
CWF19L2,HPA038166;
JMY,HPA037508;HPA043308;
HOMER1,CAB004437;HPA036521;HPA036522;
XRCC4,HPA006801;HPA051538;
BOLL,HPA018678;HPA048813;
ZNF547,HPA056001;
ZNF773,HPA003152;
ZNF776,HPA046653;HPA068553;
ZNF256,HPA055390;
SUV39H2,HPA045901;HPA057554;
NMT2,HPA001303;
ZSCAN1,HPA007938;
ZNF837,HPA042833;
USP12,HPA007288;HPA059492;
CCDC50,HPA001336;
CAMK4,CAB004347;HPA011753;HPA017206;
PAN3,HPA028817;
PFKM,HPA002117;
IGSF10,HPA012655;HPA012921;
SPEF2,HPA039606;HPA040343;
SPARCL1,CAB026225;
DSPP,HPA036230;
DMP1,HPA037465;
MEPE,HPA038003;HPA038004;
MBNL1,CAB016398;HPA035098;
CAPSL,HPA046811;HPA058495;
NADK2,HPA038366;HPA038367;HPA061492;
CCNO,HPA050090;
DDX4,CAB026170;HPA037763;HPA037764;
SLC30A6,HPA055032;HPA057328;
PELO,HPA031458;
SAR1B,HPA006923;HPA048368;
GPR180,HPA047250;
TCTEX1D1,HPA028420;
ANKRD22,HPA012922;
IFIT5,HPA037957;HPA062180;
HNRNPDL,HPA056820;HPA063147;
HHEX,HPA051894;HPA055460;
GRM1,HPA015701;
PTPRK,HPA054056;HPA054822;
GGPS1,HPA029472;
RAB3C,HPA003160;HPA048156;
MARVELD2,HPA018119;HPA061726;
RAD17,CAB004551;HPA005448;
PLOD2,CAB025898;HPA069126;
NRSN1,HPA019681;HPA061006;
JAKMIP1,HPA044570;
ZIC1,HPA004098;
ADGRA3,HPA008904;
CPB1,CAB026158;HPA038069;HPA046340;
CWC27,HPA020344;HPA024149;HPA065809;
SRP19,HPA029272;
CENPH,HPA036494;
CDYL,HPA035578;
CARHSP1,HPA051911;
BANK1,HPA037002;
TXNDC11,HPA041174;HPA041390;
DAB2,CAB009314;HPA028888;
ACMSD,HPA010533;HPA011179;
BCL2L11,CAB026332;CAB079899;
ANAPC1,HPA036329;HPA036330;HPA042998;
CAST,CAB009491;HPA036881;HPA036882;HPA075906;
CLGN,CAB020709;HPA048761;HPA058627;
SMARCA5,CAB005227;HPA008751;HPA074181;
BMP6,CAB002773;HPA062683;
RGPD3,HPA049497;HPA051675;HPA067564;
RASSF3,CAB022664;CAB034035;HPA038469;
HNRNPU,CAB011532;HPA041057;HPA058707;
RANBP2,HPA018437;HPA023960;CAB034063;HPA049497;HPA051675;HPA067564;
AHCTF1,HPA031658;
MERTK,HPA036196;HPA075622;
TMEM87B,HPA035183;
OR14K1,HPA016643;
PTPRR,CAB011461;HPA011851;HPA071067;
NR4A2,HPA000543;CAB010481;
CCDC148,HPA042626;
PLA2R1,CAB068217;CAB068218;
SCN3A,HPA035396;
FAM49B,HPA009076;
ASAP1,HPA011136;CAB037292;HPA048565;
TRAPPC8,HPA041107;
LPCAT1,HPA012501;HPA022268;
PLEKHG4B,HPA036274;HPA058157;
NMRAL1,HPA041353;HPA062287;
UBALD1,HPA066771;
ING1,CAB016136;CAB017773;HPA052591;
ADPRHL1,HPA066478;HPA072123;
RMND5A,HPA046795;HPA060843;
CD8A,CAB000012;HPA037756;CAB075722;
RPIA,HPA042620;HPA057954;
PTPRD,HPA054829;
LURAP1L,HPA024407;
CNKSR3,CAB037133;HPA049651;
GTF2E1,CAB009884;HPA056359;HPA066881;
CFDP1,HPA041316;HPA048242;
TGIF2LX,HPA034543;
ZDHHC7,HPA019215;HPA059054;HPA059642;
JAZF1,CAB019271;HPA066967;
CMIP,HPA054424;HPA066710;
SPHKAP,HPA042499;HPA048168;
PID1,HPA036103;
CEBPG,HPA012024;
ZNF599,HPA014701;
MCOLN2,HPA019114;
LGI4,HPA042116;HPA043556;
DDAH1,HPA006308;HPA071064;
CHD1,HPA022236;
ANKFN1,HPA021566;HPA022538;HPA048953;
DGKE,HPA017167;
HS2ST1,HPA043069;HPA043603;HPA075001;
MSI2,CAB022300;HPA068990;
CACNA2D1,HPA008213;HPA008621;
ZUFSP,HPA044426;
HS3ST3A1,HPA062518;HPA071530;
NUS1,HPA027504;
SEMA3D,HPA037522;
PPP2R5E,HPA006034;CAB072342;
GRAP,HPA046595;HPA066654;
SLC5A10,HPA052014;
AK5,HPA019128;HPA057255;
CABYR,HPA040703;HPA047801;
IMPACT,HPA041045;HPA041968;
ANKRD29,HPA041272;HPA049419;
SDHAF4,HPA031824;
CHST9,HPA011393;
THY1,HPA003733;CAB068243;CAB068244;
C16orf74,HPA049367;
TBCEL,HPA038593;HPA038594;
OTULIN,HPA051074;
UBASH3B,HPA038605;HPA038607;
NRGN,CAB006908;HPA038171;
CDH12,HPA029325;
TOMM70,HPA014589;CAB017156;HPA048020;
ABI3BP,HPA044127;
PITPNC1,HPA026563;HPA031250;
CC2D1B,HPA027500;HPA031426;
PRKCA,CAB003844;HPA006563;HPA006564;CAB016290;
LRRK1,HPA010537;
ABCA9,HPA052113;HPA054823;
ABCA10,HPA014535;
ABCA5,HPA022032;HPA062904;
ENPP3,HPA043772;
C4orf19,HPA043458;HPA052894;
UCHL1,CAB002580;HPA005993;CAB079024;
MIA3,HPA055922;HPA056816;
DISP1,HPA051411;
TNIK,HPA012128;HPA012297;
FAM167A,HPA023915;HPA030426;
LONRF1,HPA023584;HPA024814;
TRIM11,HPA028541;HPA043879;
ENAH,HPA028448;HPA028696;
CCSAP,HPA028402;HPA043443;
ASZ1,HPA020558;
BUB3,HPA003601;CAB037075;
CCDC173,HPA042995;HPA048454;
FAM69A,HPA015718;HPA017281;
MAGED4,HPA003554;
SRSF12,HPA049782;
PDLIM3,HPA004749;
CXADR,HPA003342;CAB005103;HPA030411;HPA030412;
BTG3,HPA018400;
C21orf91,HPA018288;HPA049030;
TMPRSS15,HPA015611;HPA034857;HPA072934;
L3MBTL4,HPA064194;HPA069042;
MRPL39,HPA018331;
ATP5PF,HPA031069;
GABPA,HPA003258;CAB004411;HPA028791;
ADAMTS1,CAB016394;HPA031498;
ADAMTS5,HPA005661;CAB025996;HPA030906;HPA030908;
SLFN13,HPA022532;HPA023064;
WNT7A,HPA015719;CAB025894;
XPC,CAB009932;HPA035707;HPA069673;
CCDC174,HPA043468;HPA060129;
FGD5,HPA014436;HPA014536;HPA019191;
FLCN,CAB015158;HPA028760;
DPH3,HPA035287;
OXNAD1,HPA036830;HPA059160;
PLCL2,HPA047616;HPA061728;
CXXC1,HPA044511;
SKA1,HPA045495;
PPP4R1,HPA040905;HPA041089;
PIEZO2,HPA015986;HPA031974;HPA040616;
MPPE1,HPA012639;
USP43,HPA023389;HPA027762;
RAB6B,CAB017713;HPA059131;
EME1,CAB016127;HPA052188;
ACSS1,HPA041014;HPA043228;
ANKRD40,HPA021668;HPA021759;HPA074884;
ZNF18,HPA006144;
CA10,HPA054825;HPA057837;
APOOL,HPA000612;
DKK2,CAB009727;HPA052611;
CYP2U1,HPA041622;HPA046754;HPA064827;
RSPH10B,HPA049182;
PROM2,CAB046005;HPA063728;
AK9,HPA030804;HPA030805;HPA031779;HPA031781;HPA036324;HPA036711;
ODF1,HPA064295;
PTPRN2,HPA006900;HPA007255;HPA026656;
AZIN1,HPA027948;
ATP6V1C1,HPA023943;HPA057297;
PIP4P2,HPA014591;
OTUD6B,HPA024046;HPA024503;HPA024772;
CDK19,HPA007053;
GTF3C6,HPA056179;HPA061345;
AGPAT5,HPA010644;HPA010950;HPA011646;
MMS19,HPA051936;HPA056299;
OR4K1,HPA028877;
PI4K2A,CAB030649;HPA076857;
ZFYVE27,HPA037523;HPA069876;
GOLGA7B,HPA046878;
GPR78,HPA013209;
TRMT44,HPA045461;
HSPA13,HPA014797;
SAMSN1,HPA010645;HPA017055;HPA046639;
USP25,HPA018297;HPA024142;
GRAMD2B,HPA009678;HPA010095;
ZCCHC10,HPA038944;
C16orf87,HPA041179;
RHOC,HPA051461;
DBI,HPA051428;
HEATR3,HPA041990;HPA058579;
NIFK,CAB015382;HPA035735;HPA035736;CAB075728;CAB075729;
OXA1L,HPA003531;
LARP1,CAB015222;HPA051397;HPA054819;
CNOT8,HPA051398;
GRIA1,HPA035202;
LRGUK,HPA029505;HPA029506;
MIER3,HPA058349;HPA065946;
ZKSCAN2,HPA049141;
PIK3AP1,CAB026136;HPA038452;
RBM45,HPA020448;
TTN,HPA007042;CAB022682;HPA030048;
VSIG4,HPA003903;CAB026000;
PDIA4,HPA006139;HPA006140;CAB017368;
KDM8,HPA026545;
OTOA,HPA041405;
KCTD18,HPA045498;HPA058028;
TMEM237,HPA052596;HPA054732;
DEPTOR,CAB020841;HPA023938;HPA023945;HPA024011;
RNF20,CAB012478;HPA051773;
SLC26A2,HPA041957;HPA058090;
LSM11,HPA039587;
RRAGA,HPA003734;
PXYLP1,HPA017243;
ADCY8,CAB018652;HPA024291;
RASA2,HPA035374;HPA035375;
RMND1,HPA031397;HPA031398;HPA031399;
VBP1,CAB006260;HPA023230;
RAB39B,HPA001114;HPA042505;
CLIC2,HPA047381;HPA060101;
MICU3,HPA024048;HPA024771;HPA024779;
MAGEA8,HPA003998;
CARNMT1,HPA026756;
FAM161B,HPA019125;
GNAQ,CAB010036;HPA048886;
UGT2B4,CAB033260;HPA045108;
ADK,CAB032876;HPA038391;HPA038409;HPA075222;
DCK,HPA059609;HPA062773;
ADAMTS3,HPA021368;HPA021369;
DPY19L4,HPA024780;
NDUFAF6,HPA047148;HPA050545;
DRAM2,HPA018036;HPA061701;
C8orf37,HPA024198;
ADAMTSL3,HPA034773;HPA034774;
ART3,HPA011268;
SLC28A1,HPA019551;HPA056247;
WHAMM,HPA039690;HPA040231;
CXCL13,HPA052613;
N6AMT1,CAB034133;CAB034135;HPA059242;
RWDD2B,HPA018316;
USP16,HPA021140;
CCT8,HPA018520;HPA021051;HPA029426;
NAA11,HPA035922;
CLDN17,HPA045903;
CLDN8,HPA060605;
TSPAN7,HPA003140;CAB062566;CAB068245;
TIAM1,CAB010416;HPA034853;
SCAF4,HPA018319;HPA018668;HPA021504;HPA028807;
RPGR,HPA001593;HPA073455;
CDK20,HPA007666;HPA027379;HPA027401;
ANKRD9,HPA055985;
SFR1,HPA039617;
SFXN2,HPA018150;HPA026834;
FUT6,HPA043707;HPA046966;
FGF18,HPA018795;
PCDH1,HPA047720;HPA050538;
SH3RF2,HPA035903;HPA058119;
GDF6,HPA045206;
UQCRB,HPA043060;
PTDSS1,HPA016852;
PPP2R2B,HPA038118;HPA042122;HPA042770;
RPL30,HPA002651;
KCNS2,HPA051417;
FAM122C,HPA059961;
FAM122B,HPA000266;
EEF1A1,HPA051759;HPA053862;HPA056990;
FBXO43,HPA024292;HPA024295;HPA024824;
HK1,HPA007043;HPA007044;CAB010052;
NODAL,HPA045201;
PRG3,HPA064183;
MED19,HPA039912;HPA040860;
ZFAND3,HPA016755;
NPTN,HPA051497;HPA072453;
KAT6B,HPA006104;
RAB11FIP1,CAB017037;HPA023904;HPA024010;HPA025960;
UNC5D,HPA042940;
GLYATL2,HPA060292;HPA065454;
UTP14A,HPA047217;HPA054023;
AIFM1,CAB003764;HPA030611;
MAPK13,HPA007667;CAB025854;
BAG4,CAB013716;HPA018951;
MS4A1,CAB000015;HPA014341;HPA014391;
WDYHV1,HPA024823;HPA053680;
ZNF689,HPA054095;HPA055385;
PRR14,HPA052022;HPA060265;HPA075914;
FBRS,HPA044117;
FRRS1,HPA017883;
SASS6,HPA028187;
ITGAD,HPA026786;
ADGRG4,HPA035324;
MALSU1,HPA020487;HPA052210;
VPS8,HPA036871;
GALK2,HPA043564;HPA048267;
LHFPL4,HPA041421;
B3GNT7,HPA013881;HPA035625;HPA035626;
MPV17L,HPA041180;
PDE6D,HPA037433;HPA037434;
EIF4A2,CAB011690;HPA068286;
BRPF1,HPA003359;
RPUSD3,HPA037551;HPA037552;
SST,CAB000075;HPA019472;CAB034105;
GHRL,HPA014246;CAB022731;
SHCBP1L,HPA036124;HPA036125;HPA064821;
ATP2B2,CAB005606;
LYZL4,HPA038806;
SLC6A1,HPA013341;CAB022293;
FCHO2,HPA037685;HPA037686;HPA077850;
RBPMS,HPA056999;
TMEM171,HPA042308;
KLHL40,HPA024463;HPA052201;
ODR4,HPA015988;HPA031352;
CPT2,HPA028201;HPA028202;HPA028214;
CDCP2,HPA031143;
STEAP2,HPA029115;HPA055603;
HTR5A,CAB017467;
CLDN12,HPA026945;
MMP14,CAB009918;HPA051432;
FZD1,CAB013008;
SUSD3,HPA042310;
TMED6,HPA012532;
CLEC18A,HPA048976;
DHRS4,HPA023972;
CLEC18C,HPA048976;
DDX19B,CAB037229;CAB037284;HPA046380;HPA066668;
ST3GAL2,HPA017270;
FUK,HPA041971;
DHRS1,HPA000599;HPA076886;
CACNA1D,HPA020215;
KIT,CAB003288;HPA004471;CAB068253;CAB072867;HPA073252;
AASDH,HPA036472;HPA036473;
RNF111,HPA038576;HPA038577;
FAM81A,HPA001847;HPA065797;
MYO1E,HPA003003;HPA023886;
APPL1,HPA011138;HPA073477;
MUM1L1,HPA000168;HPA020464;
TSC22D3,HPA001916;CAB034364;
VPS26C,HPA023288;
DYRK1A,HPA015323;HPA015810;
KCNJ15,HPA016702;
ERG,CAB018377;HPA046598;
TMEM164,HPA038784;
MX1,HPA030917;HPA030918;HPA049724;
CREB3L1,HPA024069;CAB026151;
C2CD2,HPA030922;HPA030924;
TAB3,HPA034980;HPA034981;
SLC38A10,HPA021374;HPA023161;HPA024631;
PALM2-AKAP2,HPA058905;HPA074153;HPA076866;
ZNF618,HPA023116;HPA061732;
TMEM268,HPA017199;
SVOPL,HPA018035;
UBN2,HPA019743;HPA020122;HPA020124;
BRAF,HPA001328;CAB004552;HPA071048;
SLC34A2,HPA037989;HPA066474;
ACAN,CAB016377;HPA038241;HPA038242;
PSMG3,HPA023876;
CABP1,HPA051438;
AP3S2,HPA049270;
SPPL3,HPA004194;HPA059958;
FAM213B,HPA006403;
TNFRSF14,HPA006404;CAB026150;CAB030007;
PANK4,HPA011723;HPA012036;HPA027961;
CIB4,HPA036130;HPA036131;
C12orf43,HPA046148;HPA061739;
PEX10,HPA049458;HPA049755;
RER1,CAB037240;HPA051400;
RADIL,HPA051776;
SKI,CAB010449;HPA066567;
LDLRAP1,CAB003705;HPA050358;
AGAP1,HPA051405;
KRTCAP3,HPA047136;HPA060203;
ANKRD61,HPA029511;HPA050732;
PAFAH2,HPA018157;
MRPL17,HPA043666;HPA050552;
PTPDC1,HPA016747;HPA026832;
NCK1,CAB005063;HPA030766;
HPD,HPA038321;HPA038322;
RHPN1,HPA024288;HPA024671;
AAED1,HPA021294;
XDH,HPA062641;HPA069323;
XKR8,HPA049984;HPA053529;
CNNM4,HPA017732;
EYA3,HPA052432;HPA062889;
DZIP1L,HPA030404;
FANCC,CAB017793;HPA030771;
MRAS,HPA042728;
ABHD3,HPA010729;
ESYT3,HPA039200;
FAIM,HPA042440;HPA052209;
CLSTN2,HPA031342;HPA061800;
COLEC12,HPA047917;HPA071056;
RNF207,HPA028378;HPA042535;
CUL4B,HPA003046;HPA011880;CAB017786;HPA058979;
GPR153,HPA007159;
SLC13A3,HPA014333;HPA014353;HPA014736;
GPRASP2,HPA017438;
AUTS2,HPA000390;
SHROOM4,HPA010089;HPA010565;
HIST1H2BD,HPA042205;HPA043013;HPA048671;CAB062336;
HIST1H4H,HPA042201;
MITD1,HPA036162;HPA036163;
EIF5B,HPA034648;HPA040095;
TMSB15B,HPA064607;
TSPAN33,HPA020357;
NRG2,HPA038935;HPA047973;
AHCYL2,HPA053128;
CD1D,CAB016107;HPA072662;
CD1A,CAB000009;HPA010734;
SPATA2,HPA048581;HPA052224;
CD1B,HPA021824;
CD1E,HPA057769;
CPA2,HPA020342;HPA021317;
NCF1,CAB004524;HPA047836;HPA052095;
ZC3H18,HPA040847;HPA041327;
ZFAND2B,HPA035159;HPA035160;
POM121L2,HPA046150;
GDPD5,HPA065257;HPA066762;HPA069281;
TMED4,HPA014650;
EMSY,CAB012234;HPA050777;
PKD1L1,HPA020422;HPA022424;
ZSCAN12,HPA006637;HPA006732;
TAGLN2,HPA001925;
ELK4,HPA028863;
SLC45A3,HPA019073;HPA019075;
DUSP23,HPA028211;HPA045792;
NBL1,HPA007394;CAB026132;
ITLN2,HPA006683;HPA067326;
ZNF276,HPA021309;HPA022255;
NPM2,HPA041070;
FGF17,HPA052600;
CDA,HPA064202;
PINK1,HPA001931;CAB026191;
B4GALT3,HPA010793;
ADAMTS4,CAB025876;HPA051296;HPA068374;
FAM160B2,HPA025040;
NDUFS2,HPA055140;HPA061953;
SLC5A11,HPA035331;
FCER1G,CAB022108;HPA026872;
APOA2,CAB025885;HPA072575;
TOMM40L,HPA051304;
CCAR2,HPA019907;HPA019943;CAB072827;CAB072828;
WNT9B,HPA058361;HPA059572;
CACHD1,HPA017202;
CDC42SE2,HPA038624;
RAPGEF6,HPA037982;HPA037983;
EPB41,HPA028076;HPA028096;HPA028412;HPA028414;
MIS18A,HPA018286;HPA020585;
ALG8,HPA051898;
C21orf59,HPA018453;HPA019055;HPA028849;CAB034170;
PAXBP1,HPA003757;
MRPL10,HPA021234;HPA029885;
IFNGR2,HPA001535;
GART,HPA002119;HPA005779;
SON,HPA023535;HPA031755;HPA031756;
DONSON,HPA039558;HPA049033;
SV2A,CAB002226;HPA007863;
LAD1,HPA007256;HPA028732;
STC1,CAB018625;HPA023918;
TNNI1,HPA028190;
CSRP1,HPA045617;
PRAC1,HPA047871;
HOXB13,CAB004438;HPA062852;HPA065019;
C1QC,HPA001471;CAB009828;
KCNE2,HPA029706;HPA051553;
CIART,HPA027515;HPA054349;
CCDC24,HPA035424;HPA061710;
RUNX1,HPA004176;HPA037912;
IGF2BP1,HPA021367;HPA062273;
GIP,HPA021612;HPA064596;
CBR1,HPA018433;CAB034291;
CBR3,HPA018434;
ACTC1,CAB037330;HPA041264;HPA041271;
CHAF1B,HPA021679;CAB033604;
SIM2,HPA029295;
HLCS,HPA017379;
GOLGA6A,HPA044978;HPA050087;HPA072134;
ARHGAP27,HPA023919;HPA053053;
ADPGK,HPA045194;HPA058525;
PTMS,HPA038186;
PADI4,HPA017007;HPA042825;
CYB5R1,HPA010641;HPA014147;
ATP13A2,CAB037038;CAB037111;HPA050910;HPA054717;
M1AP,HPA045420;HPA059302;
PSMB4,HPA006700;HPA073499;
IRX6,HPA018332;
BTG2,HPA002355;
C1R,HPA001251;HPA001551;
