TSPAN6,HPA004109;
POLR2B,HPA037506;
FAM214A,HPA039369;HPA040180;
ARAP2,HPA035925;
TPR,HPA019661;HPA019663;HPA024336;
CP,HPA001834;CAB008591;
KIAA0556,HPA035089;HPA035090;
DTNBP1,HPA028053;HPA029615;HPA029616;
C12orf4,HPA037871;
SCML1,HPA035270;HPA035271;HPA061397;
WWC3,HPA039814;
FAM184B,HPA044119;HPA048458;
GOPC,HPA019477;HPA024018;
ROS1,HPA049098;HPA072424;
USP28,HPA006778;HPA006779;
HDAC9,HPA028926;
NOP16,HPA036506;HPA058147;
RRM2B,CAB006854;HPA028812;
ZNF800,HPA023090;HPA052194;
MRPS10,HPA029133;HPA029134;
VPS13D,HPA027332;HPA051621;
CELF2,CAB016395;HPA035813;
FAM120A,HPA019734;HPA055800;
COL9A2,HPA056316;HPA075286;
ADAMTS6,HPA043441;
H6PD,HPA004824;HPA005440;
PER3,HPA019530;
UTS2,HPA017000;
EPN3,HPA055546;HPA063224;
RCN1,HPA038474;HPA062104;
ELN,CAB010750;HPA018111;HPA056941;
RFC2,HPA029493;
ARID1B,HPA016511;HPA075291;
CLPTM1L,HPA014791;
NEDD4L,HPA024618;
FOXP3,CAB026301;HPA045943;
PPP1R3F,HPA000244;HPA000918;
PTCD2,HPA043686;
NEXMIF,HPA000407;
JKAMP,HPA031172;HPA071650;
DKK3,HPA011868;CAB024949;
ARHGEF5,HPA020980;HPA029504;HPA044188;HPA045619;HPA045699;
NFE2L3,HPA055889;
LIMA1,HPA023871;HPA052645;
LAMC3,HPA022814;
PTGER3,HPA010689;
TNIP3,HPA043063;
MAPK9,CAB008910;
COL23A1,HPA067824;
FAM160A2,HPA055994;HPA063987;
HERPUD1,CAB037041;CAB037104;HPA040754;HPA041219;
HOMER3,CAB032656;HPA040999;CAB079015;
RAD51,CAB010381;HPA039310;
PIK3CB,CAB031938;HPA042288;HPA064207;
THOC3,HPA042764;HPA044009;HPA045071;
HEBP2,HPA016928;
PLEKHA5,HPA035923;HPA035924;HPA041455;
PRSS8,HPA030436;
SIKE1,HPA024177;HPA025726;
FNIP2,HPA042779;HPA052758;HPA072420;
MSMO1,HPA056127;
TTC17,HPA038508;
FSTL4,HPA045920;
FOXN3,HPA059209;
METTL24,HPA037441;HPA037442;
